longitude,latitude
-0.198224,51.486454
0.105042,51.49883
0.173482,51.451924
-0.139873,51.614153
0.016495,51.595151
0.061626,51.512146
-0.0544,51.401567
0.116442,51.58251
0.007763,51.486112
-0.05806,51.599313
-0.088278,51.534038
-0.068434,51.525943
0.106283,51.498574
-0.435995,51.454815
-0.422338,51.531533
-0.147037,51.58648
-0.081305,51.490688
-0.137725,51.48514
-0.012675,51.476523
-0.202486,51.545789
-0.042585,51.442225
-0.108959,51.523834
-0.13362,51.427622
-0.068221,51.605874
0.020797,51.430681
-0.011712,51.523493
-0.023283,51.467674
-0.162933,51.467517
-0.040765,51.489091
-0.005556,51.472364
-0.026169,51.681709
-0.07993,51.47027
-0.014119,51.529802
-0.059434,51.527071
-0.266502,51.517042
-0.179047,51.611575
-0.332344,51.584781
-0.182253,51.516432
0.035959,51.592261
-0.228878,51.534284
-0.418468,51.493021
-0.13041,51.527343
0.027264,51.54645
-0.128888,51.513461
-0.365268,51.4443
-0.43423,51.480734
-0.151589,51.523038
0.076384,51.5473
-0.200058,51.492552
-0.395109,51.53138
-0.000439,51.539291
0.119944,51.393282
0.152743,51.458701
-0.213049,51.358744
-0.065523,51.509268
-0.067779,51.509071
-0.041189,51.628294
-0.439238,51.614882
-0.139707,51.612217
0.132511,51.478927
-0.086519,51.631613
-0.266907,51.492714
-0.400132,51.485138
-0.379361,51.436852
0.010777,51.567992
-0.118,51.362058
-0.211801,51.425064
-0.093116,51.379461
-0.050701,51.532061
-0.204804,51.476232
-0.136083,51.509502
-0.003036,51.538265
-0.113523,51.368236
-0.047363,51.442196
-0.01164,51.523492
-0.06524,51.492114
-0.225224,51.541855
-0.342075,51.405244
-0.140851,51.499992
-0.163552,51.464289
-0.28505,51.585359
-0.25801,51.562435
-0.039704,51.530961
-0.209165,51.442451
-0.140351,51.537402
0.075928,51.564223
-0.285195,51.50095
-0.266125,51.505715
-0.114112,51.336069
-0.050905,51.549555
-0.121009,51.518965
-0.061245,51.531957
-0.12042,51.405738
0.054479,51.532991
-0.076772,51.539515
-0.06325,51.618157
0.247313,51.552819
-0.170833,51.572673
-0.218157,51.504222
0.021183,51.489937
-0.11899,51.374358
-0.12442,51.445028
0.025015,51.512685
-0.13046,51.516265
-0.116554,51.398005
-0.172291,51.511817
-0.283165,51.468692
-0.146909,51.498037
-0.014544,51.507103
-0.400892,51.55027
-0.012464,51.50723
-0.076828,51.516612
-0.380416,51.561068
-0.415555,51.449451
