date,confirmed_cases
2020-05-01,2277
2020-05-02,2290
2020-05-03,2344
2020-05-04,2360
2020-05-05,2371
2020-05-06,2381
2020-05-07,2419
2020-05-08,2448
2020-05-09,2482
2020-05-10,2486
2020-05-11,2536
2020-05-12,2561
2020-05-13,2583
2020-05-14,2599
