name,date,value
totalInterchange,2024-04-09T06:00Z,-161
netGeneration,2024-04-09T06:00Z,376384.92
demandForecast,2024-04-09T06:00Z,370041.2
totalInterchange,2024-04-09T05:00Z,822
demandForecast,2024-04-09T05:00Z,385485
netGeneration,2024-04-09T05:00Z,391761.17
demandActual,2024-04-09T05:00Z,386564.17
demandForecast,2024-04-09T04:00Z,406109.5
demandActual,2024-04-09T04:00Z,408401.19
netGeneration,2024-04-09T04:00Z,408734.19
totalInterchange,2024-04-09T04:00Z,3173
netGeneration,2024-04-09T03:00Z,429077.73
demandForecast,2024-04-09T03:00Z,425429.9
totalInterchange,2024-04-09T03:00Z,2582
demandActual,2024-04-09T03:00Z,428475.73
demandForecast,2024-04-09T02:00Z,439814.6
totalInterchange,2024-04-09T02:00Z,1026
netGeneration,2024-04-09T02:00Z,444707.51
demandActual,2024-04-09T02:00Z,443540.51
demandForecast,2024-04-09T01:00Z,445408.9
totalInterchange,2024-04-09T01:00Z,455
demandActual,2024-04-09T01:00Z,447965.08
netGeneration,2024-04-09T01:00Z,446148.08
demandForecast,2024-04-09,445084.1
totalInterchange,2024-04-09,730
netGeneration,2024-04-09,441949.05
demandActual,2024-04-09,443515.05
demandActual,2024-04-08T23:00Z,437730.49
netGeneration,2024-04-08T23:00Z,437069.49
demandForecast,2024-04-08T23:00Z,441169.1
totalInterchange,2024-04-08T23:00Z,1685
demandForecast,2024-04-08T22:00Z,436188.3
totalInterchange,2024-04-08T22:00Z,2419
demandActual,2024-04-08T22:00Z,432237.96
netGeneration,2024-04-08T22:00Z,432317.96
demandForecast,2024-04-08T21:00Z,431141
demandActual,2024-04-08T21:00Z,425970.86
netGeneration,2024-04-08T21:00Z,426764.86
totalInterchange,2024-04-08T21:00Z,2436
demandForecast,2024-04-08T20:00Z,431486.9
netGeneration,2024-04-08T20:00Z,427546.33
totalInterchange,2024-04-08T20:00Z,1609
demandActual,2024-04-08T20:00Z,429400.33
demandForecast,2024-04-08T19:00Z,428019.3
totalInterchange,2024-04-08T19:00Z,1876
netGeneration,2024-04-08T19:00Z,426643.49
demandActual,2024-04-08T19:00Z,427871.49
demandActual,2024-04-08T18:00Z,425517.68
demandForecast,2024-04-08T18:00Z,424923.5
netGeneration,2024-04-08T18:00Z,425704.68
totalInterchange,2024-04-08T18:00Z,1745
netGeneration,2024-04-08T17:00Z,427233.87
demandActual,2024-04-08T17:00Z,427090.87
demandForecast,2024-04-08T17:00Z,424060.2
totalInterchange,2024-04-08T17:00Z,1524
demandActual,2024-04-08T16:00Z,429642.87
netGeneration,2024-04-08T16:00Z,426294.87
totalInterchange,2024-04-08T16:00Z,944
demandForecast,2024-04-08T16:00Z,426441.2
netGeneration,2024-04-08T15:00Z,427105.38
demandActual,2024-04-08T15:00Z,428774.38
demandForecast,2024-04-08T15:00Z,428863.3
totalInterchange,2024-04-08T15:00Z,1082
demandForecast,2024-04-08T14:00Z,429443.3
demandActual,2024-04-08T14:00Z,425709.43
totalInterchange,2024-04-08T14:00Z,993
netGeneration,2024-04-08T14:00Z,423806.43
demandForecast,2024-04-08T13:00Z,425942.6
demandActual,2024-04-08T13:00Z,422585.58
netGeneration,2024-04-08T13:00Z,421341.58
totalInterchange,2024-04-08T13:00Z,1090
demandForecast,2024-04-08T12:00Z,417294.7
netGeneration,2024-04-08T12:00Z,412767.38
demandActual,2024-04-08T12:00Z,415207.38
totalInterchange,2024-04-08T12:00Z,-516
demandForecast,2024-04-08T11:00Z,399443
netGeneration,2024-04-08T11:00Z,391833.19
totalInterchange,2024-04-08T11:00Z,255
demandActual,2024-04-08T11:00Z,393811.19
demandActual,2024-04-08T10:00Z,370501.27
demandForecast,2024-04-08T10:00Z,378120.9
netGeneration,2024-04-08T10:00Z,369181.27
totalInterchange,2024-04-08T10:00Z,1237
demandActual,2024-04-08T09:00Z,358923.81
netGeneration,2024-04-08T09:00Z,357644.81
totalInterchange,2024-04-08T09:00Z,1536
demandForecast,2024-04-08T09:00Z,361223.6
demandActual,2024-04-08T08:00Z,356600
demandForecast,2024-04-08T08:00Z,355515.2
netGeneration,2024-04-08T08:00Z,356361
totalInterchange,2024-04-08T08:00Z,2276
demandActual,2024-04-08T07:00Z,360871.86
demandForecast,2024-04-08T07:00Z,358060.3
totalInterchange,2024-04-08T07:00Z,2151
netGeneration,2024-04-08T07:00Z,359898.86
demandForecast,2024-04-08T06:00Z,366272.1
netGeneration,2024-04-08T06:00Z,368512.22
totalInterchange,2024-04-08T06:00Z,1680
demandActual,2024-04-08T06:00Z,369644.22
demandForecast,2024-04-08T05:00Z,378260.4
demandActual,2024-04-08T05:00Z,381324.01
netGeneration,2024-04-08T05:00Z,380794.01
totalInterchange,2024-04-08T05:00Z,2098
netGeneration,2024-04-08T04:00Z,396820.85
totalInterchange,2024-04-08T04:00Z,2390
