period,ba,baAbb,value
2024-04-10T03,Tennessee Valley Authority,TVA,16077.34
2024-04-10T03,Salt River Project Agricultural Improvement and Power District,SRP,3583
2024-04-10T03,Idaho Power Company,IPCO,1688
2024-04-10T03,Western Area Power Administration - Rocky Mountain Region,WACM,3656
2024-04-10T02,PacifiCorp East,PACE,5524
2024-04-10T02,PUD No. 1 of Douglas County,DOPD,220
2024-04-10T02,"Dominion Energy South Carolina, Inc.",SCEG,2422
2024-04-10T02,Western Area Power Administration - Upper Great Plains West,WAUW,67
2024-04-10T02,Tucson Electric Power,TEPC,1434.09
2024-04-10T02,City of Homestead,HST,79
2024-04-10T02,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,523
2024-04-10T02,Southwest Power Pool,SWPP,29883
2024-04-10T02,South Carolina Public Service Authority,SC,2679
2024-04-10T02,Turlock Irrigation District,TIDC,307
2024-04-10T02,JEA,JEA,1483
2024-04-10T02,Tennessee Valley Authority,TVA,16907.28
2024-04-10T02,City of Tallahassee,TAL,314
2024-04-10T02,Salt River Project Agricultural Improvement and Power District,SRP,3495
2024-04-10T02,Southwestern Power Administration,SPA,20
2024-04-10T02,"Electric Reliability Council of Texas, Inc.",ERCO,51762
2024-04-10T02,California Independent System Operator,CISO,22185
2024-04-10T02,Duke Energy Progress West,CPLW,516
2024-04-10T02,Seattle City Light,SCL,1096
2024-04-10T02,El Paso Electric Company,EPE,912
2024-04-10T02,Balancing Authority of Northern California,BANC,1903
2024-04-10T02,Avista Corporation,AVA,1442
2024-04-10T02,Public Service Company of Colorado,PSCO,4979
2024-04-10T02,Public Service Company of New Mexico,PNM,1591
2024-04-10T02,Idaho Power Company,IPCO,1633
2024-04-10T02,Tampa Electric Company,TEC,2643
2024-04-10T02,"Public Utility District No. 2 of Grant County, Washington",GCPD,711
2024-04-10T02,Public Utility District No. 1 of Chelan County,CHPD,182
2024-04-10T02,New York Independent System Operator,NYIS,15861
2024-04-10T02,Imperial Irrigation District,IID,463
2024-04-10T02,"Duke Energy Florida, Inc.",FPC,6605
2024-04-10T02,Western Area Power Administration - Desert Southwest Region,WALC,1023
2024-04-10T02,Gainesville Regional Utilities,GVL,254
2024-04-10T02,ISO New England,ISNE,12300
2024-04-10T02,Western Area Power Administration - Rocky Mountain Region,WACM,3568
2024-04-10T02,Los Angeles Department of Water and Power,LDWP,2709
2024-04-10T02,NorthWestern Corporation,NWMT,1357
2024-04-10T02,Duke Energy Progress East,CPLE,6151
2024-04-10T02,"PJM Interconnection, LLC",PJM,
2024-04-10T02,Seminole Electric Cooperative,SEC,232
2024-04-10T02,Portland General Electric Company,PGE,2497
2024-04-10T02,Nevada Power Company,NEVP,3924
2024-04-10T02,"Associated Electric Cooperative, Inc.",AECI,2049
2024-04-10T02,"Midcontinent Independent System Operator, Inc.",MISO,69363
2024-04-10T02,PacifiCorp West,PACW,2233
2024-04-10T02,Bonneville Power Administration,BPAT,6551
2024-04-10T02,Duke Energy Carolinas,DUK,11232
2024-04-10T02,Arizona Public Service Company,AZPS,3475
2024-04-10T02,Florida Power & Light Co.,FPL,16357
2024-04-10T02,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3883
2024-04-10T02,"Puget Sound Energy, Inc.",PSEI,2864
2024-04-10T02,"Southern Company Services, Inc. - Trans",SOCO,24342
2024-04-10T02,Florida Municipal Power Pool,FMPP,2136
2024-04-10T01,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,4026
2024-04-10T01,Turlock Irrigation District,TIDC,295
2024-04-10T01,El Paso Electric Company,EPE,851
2024-04-10T01,Public Utility District No. 1 of Chelan County,CHPD,178
2024-04-10T01,Nevada Power Company,NEVP,3820
2024-04-10T01,Western Area Power Administration - Rocky Mountain Region,WACM,3507
2024-04-10T01,"PJM Interconnection, LLC",PJM,
2024-04-10T01,PacifiCorp East,PACE,5331
2024-04-10T01,Tampa Electric Company,TEC,2819
2024-04-10T01,Tucson Electric Power,TEPC,1391.98
2024-04-10T01,ISO New England,ISNE,13081
2024-04-10T01,Los Angeles Department of Water and Power,LDWP,2914
2024-04-10T01,JEA,JEA,1584
2024-04-10T01,Public Service Company of Colorado,PSCO,4902
2024-04-10T01,Salt River Project Agricultural Improvement and Power District,SRP,3394
2024-04-10T01,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,525
2024-04-10T01,Duke Energy Progress West,CPLW,541
2024-04-10T01,"Dominion Energy South Carolina, Inc.",SCEG,2542
2024-04-10T01,Bonneville Power Administration,BPAT,6448
2024-04-10T01,South Carolina Public Service Authority,SC,2892
2024-04-10T01,PUD No. 1 of Douglas County,DOPD,216
2024-04-10T01,Imperial Irrigation District,IID,475
2024-04-10T01,Balancing Authority of Northern California,BANC,1782
2024-04-10T01,Southwestern Power Administration,SPA,30
2024-04-10T01,Duke Energy Carolinas,DUK,11654
2024-04-10T01,"Duke Energy Florida, Inc.",FPC,7025
2024-04-10T01,Florida Power & Light Co.,FPL,17200
2024-04-10T01,Western Area Power Administration - Desert Southwest Region,WALC,975
2024-04-10T01,Seattle City Light,SCL,1085
2024-04-10T01,Portland General Electric Company,PGE,2431
2024-04-10T01,Arizona Public Service Company,AZPS,3185
2024-04-10T01,New York Independent System Operator,NYIS,16628
2024-04-10T01,"Puget Sound Energy, Inc.",PSEI,2785
2024-04-10T01,Idaho Power Company,IPCO,1580
2024-04-10T01,Tennessee Valley Authority,TVA,17182.76
2024-04-10T01,City of Homestead,HST,83
2024-04-10T01,PacifiCorp West,PACW,2194
2024-04-10T01,"Midcontinent Independent System Operator, Inc.",MISO,69271
2024-04-10T01,"Associated Electric Cooperative, Inc.",AECI,1980
2024-04-10T01,Southwest Power Pool,SWPP,29525
2024-04-10T01,California Independent System Operator,CISO,20088
2024-04-10T01,Western Area Power Administration - Upper Great Plains West,WAUW,71
2024-04-10T01,NorthWestern Corporation,NWMT,1326
2024-04-10T01,Avista Corporation,AVA,1435
2024-04-10T01,"Public Utility District No. 2 of Grant County, Washington",GCPD,714
2024-04-10T01,Duke Energy Progress East,CPLE,6466
2024-04-10T01,"Southern Company Services, Inc. - Trans",SOCO,24962
2024-04-10T01,"Electric Reliability Council of Texas, Inc.",ERCO,51768
2024-04-10T01,Public Service Company of New Mexico,PNM,1511
2024-04-10T01,Gainesville Regional Utilities,GVL,270
2024-04-10T01,City of Tallahassee,TAL,331
2024-04-10T01,Seminole Electric Cooperative,SEC,258
2024-04-10T01,Florida Municipal Power Pool,FMPP,2302
2024-04-10T00,Tennessee Valley Authority,TVA,16682.86
2024-04-10T00,"Dominion Energy South Carolina, Inc.",SCEG,2505
2024-04-10T00,"Puget Sound Energy, Inc.",PSEI,2747
2024-04-10T00,Los Angeles Department of Water and Power,LDWP,2823
2024-04-10T00,Avista Corporation,AVA,1407
2024-04-10T00,"Midcontinent Independent System Operator, Inc.",MISO,68462
2024-04-10T00,Duke Energy Progress West,CPLW,543
2024-04-10T00,PUD No. 1 of Douglas County,DOPD,219
2024-04-10T00,Tampa Electric Company,TEC,2849
2024-04-10T00,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,510
2024-04-10T00,Public Service Company of New Mexico,PNM,1479
2024-04-10T00,New York Independent System Operator,NYIS,16713
2024-04-10T00,City of Homestead,HST,81
2024-04-10T00,Salt River Project Agricultural Improvement and Power District,SRP,3227
2024-04-10T00,Balancing Authority of Northern California,BANC,1704
2024-04-10T00,Tucson Electric Power,TEPC,1259.84
2024-04-10T00,Gainesville Regional Utilities,GVL,270
2024-04-10T00,Turlock Irrigation District,TIDC,283
2024-04-10T00,"Electric Reliability Council of Texas, Inc.",ERCO,52186
2024-04-10T00,El Paso Electric Company,EPE,834
2024-04-10T00,California Independent System Operator,CISO,19059
2024-04-10T00,City of Tallahassee,TAL,333
2024-04-10T00,Southwestern Power Administration,SPA,22
2024-04-10T00,Duke Energy Carolinas,DUK,11446
2024-04-10T00,Western Area Power Administration - Rocky Mountain Region,WACM,3545
2024-04-10T00,"Southern Company Services, Inc. - Trans",SOCO,24464
2024-04-10T00,Arizona Public Service Company,AZPS,2811
2024-04-10T00,"Duke Energy Florida, Inc.",FPC,7162
2024-04-10T00,South Carolina Public Service Authority,SC,2844
2024-04-10T00,Public Service Company of Colorado,PSCO,4971
2024-04-10T00,Portland General Electric Company,PGE,2359
2024-04-10T00,Western Area Power Administration - Desert Southwest Region,WALC,1035
2024-04-10T00,Western Area Power Administration - Upper Great Plains West,WAUW,70
2024-04-10T00,Imperial Irrigation District,IID,468
2024-04-10T00,Duke Energy Progress East,CPLE,6350
2024-04-10T00,Nevada Power Company,NEVP,3714
2024-04-10T00,NorthWestern Corporation,NWMT,1311
2024-04-10T00,Southwest Power Pool,SWPP,29555
2024-04-10T00,Idaho Power Company,IPCO,1544
2024-04-10T00,"PJM Interconnection, LLC",PJM,
2024-04-10T00,Florida Power & Light Co.,FPL,17367
2024-04-10T00,Bonneville Power Administration,BPAT,6336
2024-04-10T00,PacifiCorp East,PACE,5247
2024-04-10T00,"Public Utility District No. 2 of Grant County, Washington",GCPD,716
2024-04-10T00,Seattle City Light,SCL,1073
2024-04-10T00,Seminole Electric Cooperative,SEC,260
2024-04-10T00,ISO New England,ISNE,13178
2024-04-10T00,JEA,JEA,1581
2024-04-10T00,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3972
2024-04-10T00,"Associated Electric Cooperative, Inc.",AECI,1943
2024-04-10T00,Public Utility District No. 1 of Chelan County,CHPD,174
2024-04-10T00,Florida Municipal Power Pool,FMPP,2327
2024-04-10T00,PacifiCorp West,PACW,2143
2024-04-09T23,NorthWestern Corporation,NWMT,1316
2024-04-09T23,Los Angeles Department of Water and Power,LDWP,2738
2024-04-09T23,Florida Municipal Power Pool,FMPP,2383
2024-04-09T23,Southwestern Power Administration,SPA,22
2024-04-09T23,Tampa Electric Company,TEC,2887
2024-04-09T23,"Southern Company Services, Inc. - Trans",SOCO,23954
2024-04-09T23,Western Area Power Administration - Rocky Mountain Region,WACM,3405
2024-04-09T23,"Duke Energy Florida, Inc.",FPC,7380
2024-04-09T23,Duke Energy Carolinas,DUK,11366
2024-04-09T23,Nevada Power Company,NEVP,3690
2024-04-09T23,Turlock Irrigation District,TIDC,273
2024-04-09T23,"Puget Sound Energy, Inc.",PSEI,2709
2024-04-09T23,Western Area Power Administration - Desert Southwest Region,WALC,1009
2024-04-09T23,Seattle City Light,SCL,1073
2024-04-09T23,Florida Power & Light Co.,FPL,17853
2024-04-09T23,PacifiCorp East,PACE,5198
2024-04-09T23,City of Homestead,HST,82
2024-04-09T23,Duke Energy Progress East,CPLE,6137
2024-04-09T23,"Midcontinent Independent System Operator, Inc.",MISO,68033
2024-04-09T23,California Independent System Operator,CISO,19346
2024-04-09T23,Western Area Power Administration - Upper Great Plains West,WAUW,71
2024-04-09T23,Seminole Electric Cooperative,SEC,266
2024-04-09T23,"Dominion Energy South Carolina, Inc.",SCEG,2471
2024-04-09T23,Southwest Power Pool,SWPP,29505
2024-04-09T23,Gainesville Regional Utilities,GVL,271
2024-04-09T23,PacifiCorp West,PACW,2132
2024-04-09T23,Bonneville Power Administration,BPAT,6322
2024-04-09T23,Imperial Irrigation District,IID,455
2024-04-09T23,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,509
2024-04-09T23,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,4046
2024-04-09T23,Tennessee Valley Authority,TVA,16602.9
2024-04-09T23,Public Utility District No. 1 of Chelan County,CHPD,173
2024-04-09T23,JEA,JEA,1625
2024-04-09T23,"Public Utility District No. 2 of Grant County, Washington",GCPD,716
2024-04-09T23,"Electric Reliability Council of Texas, Inc.",ERCO,52391
2024-04-09T23,Public Service Company of New Mexico,PNM,1418
2024-04-09T23,Salt River Project Agricultural Improvement and Power District,SRP,3075
2024-04-09T23,Arizona Public Service Company,AZPS,2521
2024-04-09T23,Avista Corporation,AVA,1408
2024-04-09T23,City of Tallahassee,TAL,335
2024-04-09T23,"PJM Interconnection, LLC",PJM,
2024-04-09T23,Duke Energy Progress West,CPLW,539
2024-04-09T23,Idaho Power Company,IPCO,1513
2024-04-09T23,"Associated Electric Cooperative, Inc.",AECI,1930
2024-04-09T23,Portland General Electric Company,PGE,2351
2024-04-09T23,Balancing Authority of Northern California,BANC,1646
2024-04-09T23,Tucson Electric Power,TEPC,1143.91
2024-04-09T23,New York Independent System Operator,NYIS,16256
2024-04-09T23,South Carolina Public Service Authority,SC,2766
2024-04-09T23,PUD No. 1 of Douglas County,DOPD,216
2024-04-09T23,El Paso Electric Company,EPE,811
2024-04-09T23,ISO New England,ISNE,12479
2024-04-09T23,Public Service Company of Colorado,PSCO,4823
2024-04-09T22,Seminole Electric Cooperative,SEC,272
2024-04-09T22,City of Homestead,HST,81
2024-04-09T22,"Associated Electric Cooperative, Inc.",AECI,1868
2024-04-09T22,ISO New England,ISNE,11165
2024-04-09T22,Portland General Electric Company,PGE,2371
2024-04-09T22,Public Service Company of Colorado,PSCO,4687
2024-04-09T22,Western Area Power Administration - Desert Southwest Region,WALC,1015
2024-04-09T22,PUD No. 1 of Douglas County,DOPD,218
2024-04-09T22,Imperial Irrigation District,IID,433
2024-04-09T22,South Carolina Public Service Authority,SC,2627
2024-04-09T22,"Public Utility District No. 2 of Grant County, Washington",GCPD,724
2024-04-09T22,City of Tallahassee,TAL,325
2024-04-09T22,"PJM Interconnection, LLC",PJM,
2024-04-09T22,Tennessee Valley Authority,TVA,16403.5
2024-04-09T22,Seattle City Light,SCL,1104
2024-04-09T22,Florida Power & Light Co.,FPL,18155
2024-04-09T22,Tampa Electric Company,TEC,2928
2024-04-09T22,"Electric Reliability Council of Texas, Inc.",ERCO,51997
2024-04-09T22,JEA,JEA,1643
2024-04-09T22,NorthWestern Corporation,NWMT,1311
2024-04-09T22,"Duke Energy Florida, Inc.",FPC,7457
2024-04-09T22,PacifiCorp West,PACW,2149
2024-04-09T22,Gainesville Regional Utilities,GVL,269
2024-04-09T22,Turlock Irrigation District,TIDC,271
2024-04-09T22,"Puget Sound Energy, Inc.",PSEI,2759
2024-04-09T22,New York Independent System Operator,NYIS,15501
2024-04-09T22,Western Area Power Administration - Rocky Mountain Region,WACM,3427
2024-04-09T22,Salt River Project Agricultural Improvement and Power District,SRP,2985
2024-04-09T22,Avista Corporation,AVA,1435
2024-04-09T22,California Independent System Operator,CISO,19559
2024-04-09T22,Western Area Power Administration - Upper Great Plains West,WAUW,74
2024-04-09T22,"Midcontinent Independent System Operator, Inc.",MISO,67465
2024-04-09T22,Idaho Power Company,IPCO,1503
2024-04-09T22,Duke Energy Progress West,CPLW,529
2024-04-09T22,Duke Energy Carolinas,DUK,11302
2024-04-09T22,Duke Energy Progress East,CPLE,6075
2024-04-09T22,Florida Municipal Power Pool,FMPP,2449
2024-04-09T22,El Paso Electric Company,EPE,805
2024-04-09T22,"Dominion Energy South Carolina, Inc.",SCEG,2463
2024-04-09T22,Southwestern Power Administration,SPA,27
2024-04-09T22,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3984
2024-04-09T22,Balancing Authority of Northern California,BANC,1605
2024-04-09T22,Public Service Company of New Mexico,PNM,1404
2024-04-09T22,Nevada Power Company,NEVP,3673
2024-04-09T22,Southwest Power Pool,SWPP,29583
2024-04-09T22,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,517
2024-04-09T22,PacifiCorp East,PACE,5232
2024-04-09T22,Los Angeles Department of Water and Power,LDWP,2884
2024-04-09T22,"Southern Company Services, Inc. - Trans",SOCO,23489
2024-04-09T22,Tucson Electric Power,TEPC,1040.96
2024-04-09T22,Arizona Public Service Company,AZPS,2319
2024-04-09T22,Bonneville Power Administration,BPAT,6439
2024-04-09T22,Public Utility District No. 1 of Chelan County,CHPD,175
2024-04-09T21,Southwestern Power Administration,SPA,32
2024-04-09T21,Seattle City Light,SCL,1167
2024-04-09T21,El Paso Electric Company,EPE,788
2024-04-09T21,Turlock Irrigation District,TIDC,268
2024-04-09T21,California Independent System Operator,CISO,19821
2024-04-09T21,Salt River Project Agricultural Improvement and Power District,SRP,2927
2024-04-09T21,NorthWestern Corporation,NWMT,1339
2024-04-09T21,"Puget Sound Energy, Inc.",PSEI,2836
2024-04-09T21,ISO New England,ISNE,9752
2024-04-09T21,Public Utility District No. 1 of Chelan County,CHPD,180
2024-04-09T21,Tucson Electric Power,TEPC,1000.78
2024-04-09T21,Public Service Company of Colorado,PSCO,4611
2024-04-09T21,Tennessee Valley Authority,TVA,16074.14
2024-04-09T21,"Associated Electric Cooperative, Inc.",AECI,1828
2024-04-09T21,JEA,JEA,1592
2024-04-09T21,Duke Energy Progress East,CPLE,5921
2024-04-09T21,Western Area Power Administration - Desert Southwest Region,WALC,1002
2024-04-09T21,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,4005
2024-04-09T21,Nevada Power Company,NEVP,3845
2024-04-09T21,Bonneville Power Administration,BPAT,6585
2024-04-09T21,"PJM Interconnection, LLC",PJM,
2024-04-09T21,"Public Utility District No. 2 of Grant County, Washington",GCPD,729
2024-04-09T21,Balancing Authority of Northern California,BANC,1598
2024-04-09T21,Portland General Electric Company,PGE,2432
2024-04-09T21,Western Area Power Administration - Rocky Mountain Region,WACM,3466
2024-04-09T21,Duke Energy Progress West,CPLW,519
2024-04-09T21,New York Independent System Operator,NYIS,14571
2024-04-09T21,Southwest Power Pool,SWPP,29613
2024-04-09T21,City of Homestead,HST,78
2024-04-09T21,South Carolina Public Service Authority,SC,2693
2024-04-09T21,Florida Power & Light Co.,FPL,17945
2024-04-09T21,Los Angeles Department of Water and Power,LDWP,3088
2024-04-09T21,Imperial Irrigation District,IID,406
2024-04-09T21,Avista Corporation,AVA,1478
2024-04-09T21,City of Tallahassee,TAL,322
2024-04-09T21,Idaho Power Company,IPCO,1517
2024-04-09T21,"Dominion Energy South Carolina, Inc.",SCEG,2477
2024-04-09T21,Duke Energy Carolinas,DUK,11213
2024-04-09T21,Western Area Power Administration - Upper Great Plains West,WAUW,75
2024-04-09T21,Arizona Public Service Company,AZPS,2326
2024-04-09T21,"Southern Company Services, Inc. - Trans",SOCO,23316
2024-04-09T21,"Midcontinent Independent System Operator, Inc.",MISO,67416
2024-04-09T21,"Electric Reliability Council of Texas, Inc.",ERCO,51486
2024-04-09T21,PUD No. 1 of Douglas County,DOPD,222
2024-04-09T21,Florida Municipal Power Pool,FMPP,2425
2024-04-09T21,PacifiCorp West,PACW,2196
2024-04-09T21,Gainesville Regional Utilities,GVL,260
2024-04-09T21,PacifiCorp East,PACE,5349
2024-04-09T21,"Duke Energy Florida, Inc.",FPC,7239
2024-04-09T21,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,530
2024-04-09T21,Public Service Company of New Mexico,PNM,1381
2024-04-09T21,Tampa Electric Company,TEC,2872
2024-04-09T21,Seminole Electric Cooperative,SEC,259
2024-04-09T20,Public Service Company of Colorado,PSCO,4585
2024-04-09T20,Public Utility District No. 1 of Chelan County,CHPD,182
2024-04-09T20,NorthWestern Corporation,NWMT,1374
2024-04-09T20,"PJM Interconnection, LLC",PJM,
2024-04-09T20,Bonneville Power Administration,BPAT,6740
2024-04-09T20,El Paso Electric Company,EPE,758
2024-04-09T20,Gainesville Regional Utilities,GVL,251
2024-04-09T20,Tennessee Valley Authority,TVA,16155.36
2024-04-09T20,PacifiCorp West,PACW,2249
2024-04-09T20,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,539
2024-04-09T20,City of Tallahassee,TAL,341
2024-04-09T20,"Associated Electric Cooperative, Inc.",AECI,1808
2024-04-09T20,Balancing Authority of Northern California,BANC,1599
2024-04-09T20,Southwestern Power Administration,SPA,21
2024-04-09T20,Tampa Electric Company,TEC,2744
2024-04-09T20,Duke Energy Progress West,CPLW,511
2024-04-09T20,"Southern Company Services, Inc. - Trans",SOCO,23200
2024-04-09T20,Imperial Irrigation District,IID,377
2024-04-09T20,Southwest Power Pool,SWPP,29596
2024-04-09T20,South Carolina Public Service Authority,SC,2577
2024-04-09T20,Nevada Power Company,NEVP,3886
2024-04-09T20,New York Independent System Operator,NYIS,13905
2024-04-09T20,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,4042
2024-04-09T20,Portland General Electric Company,PGE,2459
2024-04-09T20,Los Angeles Department of Water and Power,LDWP,3058
2024-04-09T20,"Dominion Energy South Carolina, Inc.",SCEG,2445
2024-04-09T20,PUD No. 1 of Douglas County,DOPD,229
2024-04-09T20,Western Area Power Administration - Rocky Mountain Region,WACM,3588
2024-04-09T20,California Independent System Operator,CISO,19967
2024-04-09T20,PacifiCorp East,PACE,5359
2024-04-09T20,Idaho Power Company,IPCO,1568
2024-04-09T20,Duke Energy Carolinas,DUK,11108
2024-04-09T20,Florida Municipal Power Pool,FMPP,2366
2024-04-09T20,"Public Utility District No. 2 of Grant County, Washington",GCPD,730
2024-04-09T20,Turlock Irrigation District,TIDC,264
2024-04-09T20,"Midcontinent Independent System Operator, Inc.",MISO,67673
2024-04-09T20,"Duke Energy Florida, Inc.",FPC,6835
2024-04-09T20,Salt River Project Agricultural Improvement and Power District,SRP,2872
2024-04-09T20,"Puget Sound Energy, Inc.",PSEI,2881
2024-04-09T20,"Electric Reliability Council of Texas, Inc.",ERCO,51337
2024-04-09T20,Avista Corporation,AVA,1502
2024-04-09T20,Florida Power & Light Co.,FPL,17456
2024-04-09T20,Seattle City Light,SCL,1191
2024-04-09T20,Tucson Electric Power,TEPC,984.86
2024-04-09T20,Public Service Company of New Mexico,PNM,1335
2024-04-09T20,Western Area Power Administration - Desert Southwest Region,WALC,982
2024-04-09T20,Arizona Public Service Company,AZPS,2349
2024-04-09T20,Seminole Electric Cooperative,SEC,246
2024-04-09T20,ISO New England,ISNE,9015
2024-04-09T20,Western Area Power Administration - Upper Great Plains West,WAUW,71
2024-04-09T20,Duke Energy Progress East,CPLE,5822
2024-04-09T20,JEA,JEA,1554
2024-04-09T20,City of Homestead,HST,75
2024-04-09T19,Southwestern Power Administration,SPA,23
2024-04-09T19,Gainesville Regional Utilities,GVL,240
2024-04-09T19,"Southern Company Services, Inc. - Trans",SOCO,23262
2024-04-09T19,City of Tallahassee,TAL,326
2024-04-09T19,Western Area Power Administration - Rocky Mountain Region,WACM,3651
2024-04-09T19,Tucson Electric Power,TEPC,995.91
2024-04-09T19,"Electric Reliability Council of Texas, Inc.",ERCO,50684
2024-04-09T19,Bonneville Power Administration,BPAT,6866
2024-04-09T19,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,4080
2024-04-09T19,Duke Energy Progress East,CPLE,5799
2024-04-09T19,Public Service Company of Colorado,PSCO,4752
2024-04-09T19,"PJM Interconnection, LLC",PJM,
2024-04-09T19,Tampa Electric Company,TEC,2606
2024-04-09T19,JEA,JEA,1520
2024-04-09T19,Los Angeles Department of Water and Power,LDWP,3064
2024-04-09T19,City of Homestead,HST,73
2024-04-09T19,ISO New England,ISNE,8728
2024-04-09T19,Salt River Project Agricultural Improvement and Power District,SRP,2814
2024-04-09T19,Balancing Authority of Northern California,BANC,1615
2024-04-09T19,Avista Corporation,AVA,1524
2024-04-09T19,Duke Energy Progress West,CPLW,514
2024-04-09T19,Duke Energy Carolinas,DUK,11201
2024-04-09T19,Public Service Company of New Mexico,PNM,1358
2024-04-09T19,PUD No. 1 of Douglas County,DOPD,229
2024-04-09T19,"Public Utility District No. 2 of Grant County, Washington",GCPD,729
2024-04-09T19,El Paso Electric Company,EPE,765
2024-04-09T19,Idaho Power Company,IPCO,1518
2024-04-09T19,South Carolina Public Service Authority,SC,2587
2024-04-09T19,Arizona Public Service Company,AZPS,2364
2024-04-09T19,Western Area Power Administration - Desert Southwest Region,WALC,1008
2024-04-09T19,Portland General Electric Company,PGE,2513
2024-04-09T19,Western Area Power Administration - Upper Great Plains West,WAUW,79
2024-04-09T19,Florida Municipal Power Pool,FMPP,2279
2024-04-09T19,"Duke Energy Florida, Inc.",FPC,6413
2024-04-09T19,"Associated Electric Cooperative, Inc.",AECI,1817
2024-04-09T19,Turlock Irrigation District,TIDC,263
2024-04-09T19,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,541
2024-04-09T19,New York Independent System Operator,NYIS,13668
2024-04-09T19,Florida Power & Light Co.,FPL,16938
2024-04-09T19,Imperial Irrigation District,IID,362
2024-04-09T19,PacifiCorp West,PACW,2294
2024-04-09T19,Public Utility District No. 1 of Chelan County,CHPD,187
2024-04-09T19,"Dominion Energy South Carolina, Inc.",SCEG,2419
2024-04-09T19,NorthWestern Corporation,NWMT,1376
2024-04-09T19,"Midcontinent Independent System Operator, Inc.",MISO,67988
2024-04-09T19,Southwest Power Pool,SWPP,29676
2024-04-09T19,Tennessee Valley Authority,TVA,16229.17
2024-04-09T19,PacifiCorp East,PACE,5337
2024-04-09T19,"Puget Sound Energy, Inc.",PSEI,2929
2024-04-09T19,California Independent System Operator,CISO,20836
2024-04-09T19,Nevada Power Company,NEVP,3927
2024-04-09T19,Seminole Electric Cooperative,SEC,234
2024-04-09T19,Seattle City Light,SCL,1195
2024-04-09T18,"Southern Company Services, Inc. - Trans",SOCO,23117
2024-04-09T18,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,557
2024-04-09T18,"Dominion Energy South Carolina, Inc.",SCEG,2397
2024-04-09T18,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,4073
2024-04-09T18,Western Area Power Administration - Desert Southwest Region,WALC,1012
2024-04-09T18,"Public Utility District No. 2 of Grant County, Washington",GCPD,733
2024-04-09T18,Southwest Power Pool,SWPP,29687
2024-04-09T18,Public Service Company of New Mexico,PNM,1410
2024-04-09T18,Public Utility District No. 1 of Chelan County,CHPD,200
2024-04-09T18,"PJM Interconnection, LLC",PJM,
2024-04-09T18,Florida Power & Light Co.,FPL,16374
2024-04-09T18,City of Tallahassee,TAL,327
2024-04-09T18,Seattle City Light,SCL,1225
2024-04-09T18,PUD No. 1 of Douglas County,DOPD,238
2024-04-09T18,Tennessee Valley Authority,TVA,16475.1
2024-04-09T18,Gainesville Regional Utilities,GVL,227
2024-04-09T18,Duke Energy Progress West,CPLW,528
2024-04-09T18,"Associated Electric Cooperative, Inc.",AECI,1792
2024-04-09T18,Salt River Project Agricultural Improvement and Power District,SRP,2810
2024-04-09T18,City of Homestead,HST,71
2024-04-09T18,New York Independent System Operator,NYIS,13607
2024-04-09T18,ISO New England,ISNE,8650
2024-04-09T18,Western Area Power Administration - Upper Great Plains West,WAUW,79
2024-04-09T18,Duke Energy Progress East,CPLE,5856
2024-04-09T18,Balancing Authority of Northern California,BANC,1644
2024-04-09T18,Seminole Electric Cooperative,SEC,219
2024-04-09T18,Western Area Power Administration - Rocky Mountain Region,WACM,3695
2024-04-09T18,"Electric Reliability Council of Texas, Inc.",ERCO,50094
2024-04-09T18,Avista Corporation,AVA,1537
2024-04-09T18,PacifiCorp West,PACW,2367
2024-04-09T18,Los Angeles Department of Water and Power,LDWP,3066
2024-04-09T18,Duke Energy Carolinas,DUK,11314
2024-04-09T18,"Midcontinent Independent System Operator, Inc.",MISO,67939
2024-04-09T18,Southwestern Power Administration,SPA,16
2024-04-09T18,Turlock Irrigation District,TIDC,268
2024-04-09T18,Arizona Public Service Company,AZPS,2373
2024-04-09T18,Tucson Electric Power,TEPC,1025.88
2024-04-09T18,Idaho Power Company,IPCO,1597
2024-04-09T18,South Carolina Public Service Authority,SC,2558
2024-04-09T18,Portland General Electric Company,PGE,2550
2024-04-09T18,Tampa Electric Company,TEC,2467
2024-04-09T18,California Independent System Operator,CISO,21234
2024-04-09T18,Imperial Irrigation District,IID,331
2024-04-09T18,El Paso Electric Company,EPE,788
2024-04-09T18,"Puget Sound Energy, Inc.",PSEI,3000
2024-04-09T18,Nevada Power Company,NEVP,3767
